crudeoil,cases,vaccines,holidays,crudeoil_one,cases_one,vaccines_one,holidays_one,crudeoil_two,cases_two,vaccines_two,holidays_two,crudeoil_three,cases_three,vaccines_three,holidays_three,crudeoil_four,cases_four,vaccines_four,holidays_four,crudeoil_five,cases_five,vaccines_five,holidays_five
63.1300,31650065.0000,3580567.0000,0,63.4600,31569687.0000,3723149.0000,0,63.1500,31495777.0000,3672229.0000,0,60.1800,31420461.0000,3458072.0000,0,59.7000,31341317.0000,2997554.0000,0,59.3200,31158621.0000,4296587.0000,0
63.3800,31813284.0000,2555255.0000,0,63.1300,31650065.0000,3580567.0000,0,63.4600,31569687.0000,3723149.0000,0,63.1500,31495777.0000,3672229.0000,0,60.1800,31420461.0000,3458072.0000,0,59.7000,31341317.0000,2997554.0000,0
62.4400,31874204.0000,3227129.0000,0,63.3800,31813284.0000,2555255.0000,0,63.1300,31650065.0000,3580567.0000,0,63.4600,31569687.0000,3723149.0000,0,63.1500,31495777.0000,3672229.0000,0,60.1800,31420461.0000,3458072.0000,0
61.3500,31938028.0000,3449009.0000,0,62.4400,31874204.0000,3227129.0000,0,63.3800,31813284.0000,2555255.0000,0,63.1300,31650065.0000,3580567.0000,0,63.4600,31569687.0000,3723149.0000,0,63.1500,31495777.0000,3672229.0000,0
61.4300,32005018.0000,3467324.0000,0,61.3500,31938028.0000,3449009.0000,0,62.4400,31874204.0000,3227129.0000,0,63.3800,31813284.0000,2555255.0000,0,63.1300,31650065.0000,3580567.0000,0,63.4600,31569687.0000,3723149.0000,0
62.1400,32067397.0000,3275798.0000,0,61.4300,32005018.0000,3467324.0000,0,61.3500,31938028.0000,3449009.0000,0,62.4400,31874204.0000,3227129.0000,0,63.3800,31813284.0000,2555255.0000,0,63.1300,31650065.0000,3580567.0000,0
61.9100,32201224.0000,2368313.0000,0,62.1400,32067397.0000,3275798.0000,0,61.4300,32005018.0000,3467324.0000,0,61.3500,31938028.0000,3449009.0000,0,62.4400,31874204.0000,3227129.0000,0,63.3800,31813284.0000,2555255.0000,0
62.9400,32251958.0000,2864326.0000,0,61.9100,32201224.0000,2368313.0000,0,62.1400,32067397.0000,3275798.0000,0,61.4300,32005018.0000,3467324.0000,0,61.3500,31938028.0000,3449009.0000,0,62.4400,31874204.0000,3227129.0000,0
63.8600,32307052.0000,3062682.0000,0,62.9400,32251958.0000,2864326.0000,0,61.9100,32201224.0000,2368313.0000,0,62.1400,32067397.0000,3275798.0000,0,61.4300,32005018.0000,3467324.0000,0,61.3500,31938028.0000,3449009.0000,0
65.0100,32365966.0000,3020166.0000,0,63.8600,32307052.0000,3062682.0000,0,62.9400,32251958.0000,2864326.0000,0,61.9100,32201224.0000,2368313.0000,0,62.1400,32067397.0000,3275798.0000,0,61.4300,32005018.0000,3467324.0000,0
